Date,regime,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3
2018-05-21,1,4.3586458916122334e-52,1.0,1.232242346255857e-60,1.92462583727559e-25
2018-05-22,1,1.411033475413789e-50,1.0,1.888879684848355e-60,4.54097717244032e-24
2018-05-23,1,1.3528368124425466e-49,1.0,1.537294611108708e-57,8.788209982655796e-26
2018-05-24,1,1.6976955579946246e-51,1.0,1.9565739875313073e-58,2.4507638701668387e-25
2018-05-25,1,7.272120287244444e-52,1.0,4.209550181794054e-69,1.104330344944324e-25
2018-05-29,1,1.8007914971067796e-60,1.0,8.197125677195993e-79,8.922582936456449e-33
2018-05-30,1,1.415553995231642e-63,1.0,2.0458188514016562e-67,3.0472504771741407e-27
2018-05-31,1,1.2710373891437114e-49,1.0,1.5939034910150797e-61,4.290558549716901e-22
2018-06-01,1,2.67348199350404e-41,1.0,6.163147523382285e-50,3.679744631567145e-18
2018-06-04,1,1.5745417759791575e-37,1.0,2.25309345196204e-47,9.093559877403603e-17
2018-06-05,1,9.24744129454575e-37,1.0,1.2375593778189388e-44,1.8053985909663778e-16
2018-06-06,1,4.845058065956967e-36,1.0,1.7216520792639523e-42,1.9051258485654184e-15
2018-06-07,1,2.2322092212756608e-35,1.0,1.8968861030160304e-47,5.469149159881973e-17
2018-06-08,1,2.9487458933665416e-36,1.0,4.160425228277963e-45,7.883732468902992e-18
2018-06-11,1,1.9003069853432693e-37,1.0,1.1464282394628494e-47,7.811606283802508e-18
2018-06-12,1,6.565908576583646e-37,1.0,3.327085285954842e-48,6.58985302488737e-17
2018-06-13,1,8.48993359831504e-36,1.0,1.1466401226533334e-51,1.2380992271260903e-17
2018-06-14,1,2.1587181831075514e-37,1.0,1.8949398236668502e-52,1.0209998045454785e-15
2018-06-15,1,1.2140352350705951e-35,1.0,1.8909400055811108e-50,4.946953952799638e-17
2018-06-18,1,6.5890047240714524e-37,1.0,1.0909332405234733e-59,1.7522522384860038e-16
2018-06-19,1,2.1236295657864974e-44,1.0,1.4815500478639826e-60,2.1086901051127447e-22
2018-06-20,1,4.1142746808594445e-50,1.0,1.0893580177701907e-59,6.249579660728921e-20
2018-06-21,1,1.8851494652141013e-47,1.0,2.0797917209302008e-67,5.256523536549901e-25
2018-06-22,1,4.7320801625563646e-52,1.0,1.1044361079573158e-67,1.1714839377945063e-23
2018-06-25,1,1.222760367532772e-51,1.0,8.2689261466964e-76,1.5869566242627404e-29
2018-06-26,1,8.078409518149202e-57,1.0,8.575399283515991e-68,2.9703731352700094e-27
2018-06-27,1,4.45282809305927e-55,1.0,1.4056314396773507e-68,2.291785306254328e-28
2018-06-28,1,3.954696123957647e-54,1.0,6.178807704429454e-61,5.309147892907587e-27
2018-06-29,1,5.379929800404116e-52,1.0,2.951670035015299e-55,7.942441641973879e-26
2018-07-02,1,2.2513255714639004e-51,1.0,3.646237307418848e-56,9.304413819573226e-24
2018-07-03,1,5.626359143070825e-50,1.0,3.933788626237689e-54,3.136846471335828e-24
2018-07-05,1,4.979660347406271e-50,1.0,1.711639113166614e-48,4.606132765160636e-21
2018-07-06,1,2.747078560972821e-49,1.0,5.24991880688049e-47,8.614224717080501e-18
2018-07-09,1,8.636436646418799e-47,1.0,3.627546775707181e-49,2.461743183497495e-18
2018-07-10,1,9.865662944759561e-48,1.0,1.807997104163559e-56,4.4860140918930944e-17
2018-07-11,1,1.8932651853374827e-44,1.0,1.982638838433487e-57,1.717404417262549e-22
2018-07-12,1,6.998788901603665e-51,1.0,1.0203246986961722e-58,1.2727247836327356e-20
2018-07-13,1,3.7996281003634507e-50,1.0,4.575183120257541e-58,4.460800344871249e-20
2018-07-16,1,1.4158733055695673e-48,1.0,1.419545883424898e-56,1.0894817441077746e-18
2018-07-17,1,4.0900889078446425e-47,1.0,4.706509449825196e-53,1.1479150609009585e-17
2018-07-18,1,1.8843923773458027e-38,1.0,8.346947895720899e-50,6.968575657667404e-16
2018-07-19,1,8.022923644677317e-37,1.0,1.1003638779484797e-52,1.075217270410034e-15
2018-07-20,1,3.452863579929415e-35,1.0,4.240824162049664e-48,4.4839639254408777e-17
2018-07-23,1,1.0180321587439354e-35,1.0,3.2081020496411756e-44,1.3707704457303373e-16
2018-07-24,1,1.0820678615469326e-36,1.0,1.9124238924317795e-42,1.120547115244599e-14
2018-07-25,1,9.437757410771485e-35,0.999999999998181,1.2952736289026157e-41,2.323272910049109e-12
2018-07-26,1,1.116103739270935e-31,0.9999999999599822,3.682841688030751e-40,4.073594931815859e-11
2018-07-27,1,3.969000783232769e-30,0.999999999990905,1.0476136595395883e-42,8.519340389711998e-12
2018-07-30,1,3.0340408359743463e-31,0.999999999998181,2.5489349895539073e-41,1.1953599627262753e-12
2018-07-31,1,7.448173963468952e-30,0.9999999977571861,1.9009536810653448e-39,2.2434407633625987e-09
2018-08-01,1,7.873355995747835e-26,0.9999999987430783,6.825309551765516e-36,1.2571128684737856e-09
2018-08-02,1,1.091044670920431e-27,0.9999999980555003,2.8285354447188057e-35,1.9448770285281283e-09
2018-08-03,1,2.6467250328924036e-29,0.9999999984720489,7.6700389538762704e-34,1.5279708446538278e-09
2018-08-06,1,3.3974258584118194e-32,0.9999999954961822,1.9100965197429813e-35,4.503224078959109e-09
2018-08-07,1,1.4992072965645956e-31,0.9999999430947372,7.019855782033886e-36,5.690555626405001e-08
2018-08-08,1,2.032709732711845e-31,0.9999999593092078,5.994478378561572e-38,4.06903063309965e-08
2018-08-09,1,4.4271682726949716e-30,0.9999999960309651,1.8018674300264315e-40,3.968916939914602e-09
2018-08-10,1,1.1645020069989425e-27,0.9999999998490239,2.726598749293842e-45,1.5118454175481497e-10
2018-08-13,1,4.185503476688732e-29,0.999999999998181,5.688459997534787e-49,1.6463372588799362e-12
2018-08-14,1,1.17859262710206e-30,0.9999999998708518,1.3984547817275834e-44,1.2902959282046165e-10
